District,Date,Sox,Nox,PM10,NH3,AQI
Khammam,1-Feb,6.4,49,84,67,84
Khammam,1-Mar,6.1,45,83,65,83
Khammam,1-Apr,6,20,80,20,80
Khammam,1-May,6.5,47.1,54,35,63
Khammam,1-Jun,8.3,37.2,43,45,48
Khammam,1-Jul,7.9,45.1,43,37,70
Khammam,1-Aug,8,26,33,33,37
Khammam,1-Sep,7.1,38.6,37,40,52
Khammam,1-Oct,7.4,39.9,49,40,62
Khammam,1-Nov,6.3,49.7,82,67,83
Khammam,1-Dec,7.4,38.6,98,41,95
Khammam,1-Jan,6.8,47,101,67,100
Khammam,1-Feb,6.8,38,84,68,84
Khammam,1-Mar,7.7,36.2,65,43,68
Khammam,1-Apr,7.9,27.6,54,46,54
Khammam,1-May,,34.1,,,
Khammam,1-Jun,8.4,35.9,90,38,88
Khammam,1-Jul,5.5,35.9,69,60,69
Khammam,1-Aug,6,34,67,60,67
Khammam,1-Sep,9.2,31,85,48,85
Khammam,1-Oct,7.4,31,61,48,61
Khammam,1-Nov,7.5,37.6,86,53,86
Khammam,1-Dec,7,41.6,78,55,78
Khammam,1-Jan,6.8,29.8,80,45,80
Khammam,1-Feb,7.6,30.7,78,48,78
Khammam,1-Mar,7.8,51.5,76,65,77
Khammam,1-Apr,7.3,44.6,78,65,79
Khammam,1-May,7.1,41,77,66,77
Khammam,1-Jun,7.4,45.4,81,67,81
Khammam,1-Jul,7.4,45.6,73,62,73
Khammam,1-Aug,7.4,41.5,56,44,58
Khammam,1-Sep,7,31.2,41,38,42
Khammam,1-Oct,7.4,30.9,57,39,57
Khammam,1-Nov,8,30,78,35,78
Khammam,1-Dec,7.1,29.1,112,33,115
 Karimnagar ,1-Jan,7.9,98.5,117,25,111
 Karimnagar ,1-Feb,6.5,45.8,88,54,87
 Karimnagar ,1-Mar,7.4,36.3,89,62,89
 Karimnagar ,1-Apr,8.7,40,102,53,100
 Karimnagar ,1-May,8.8,41.9,100,60,100
 Karimnagar ,1-Jun,9.1,39,101,61,100
 Karimnagar ,1-Jul,8.7,33.6,89,59,89
 Karimnagar ,1-Aug,7.6,38.9,91,66,91
 Karimnagar ,1-Sep,9.1,40.2,101,53,100
 Karimnagar ,1-Oct,9,34,98,56,98
 Karimnagar ,1-Nov,9.5,44.2,110,54,106
 Karimnagar ,1-Dec,9.3,40.2,100,56,100
 Karimnagar ,1-Jan,10.7,54.4,107,62,104
 Karimnagar ,1-Feb,10.7,58.4,103,64,102
 Karimnagar ,1-Mar,10.4,57.8,105,70,103
 Karimnagar ,1-Apr,10.4,61.2,113,75,109
 Karimnagar ,1-May,10.2,58.9,105,71,103
 Karimnagar ,1-Jun,9.1,5.02,100,66,99
 Karimnagar ,1-Jul,9.1,47.8,100,63,100
 Karimnagar ,1-Aug,8.5,51.8,102,64,99
 Karimnagar ,1-Sep,8,51.2,97,67,97
 Karimnagar ,1-Oct,7.2,50.1,104,71,102
 Karimnagar ,1-Nov,7.1,52.4,102,70,105
 Karimnagar ,1-Dec,6.9,56.2,96,74,112
 Karimnagar ,1-Jan,6.1,52.5,116,67,111
 Karimnagar ,1-Feb,6.4,56.3,121,75,114
 Karimnagar ,1-Mar,6.5,49.3,115,65,110
 Karimnagar ,1-Apr,7,38,33,20,39
 Karimnagar ,1-May,7.8,45.2,72,33,72
 Karimnagar ,1-Jun,8.4,37.1,55,36,52
 Karimnagar ,1-Jul,9,48.1,124,34,114
 Karimnagar ,1-Aug,8,43,70,37,70
 Karimnagar ,1-Sep,7.7,43.3,99,38,96
 Karimnagar ,1-Oct,7.8,38.9,156,38,137
 Karimnagar ,1-Nov,7,64.8,120,75,114
 Karimnagar ,1-Dec,8,45.6,114,48,108
 Karimnagar ,1-Jan,7.1,56.6,114,72,110
 Karimnagar ,1-Feb,7.1,47,116,72,110
 Karimnagar ,1-Mar,8.2,41.7,65,46,69
 Karimnagar ,1-Apr,8.2,40.7,72,45,73
 Karimnagar ,1-May,8.3,42.4,68,42,68
 Karimnagar ,1-Jun,7.9,39.7,69,40,72
 Karimnagar ,1-Jul,6.6,32.4,57,26,57
 Karimnagar ,1-Aug,6.9,32.4,64,22,64
 Karimnagar ,1-Sep,6.7,34.7,66,28,66
 Karimnagar ,1-Oct,7.2,35.3,68,25,68
 Karimnagar ,1-Nov,6.8,34.2,73,26,73
 Karimnagar ,1-Dec,7.9,30.9,83,32,82
 Karimnagar ,1-Jan,7.8,30.3,82,32,82
 Karimnagar ,1-Feb,6.4,27.9,92,22,90
 Karimnagar ,1-Mar,6.8,26.7,99,23,96
 Karimnagar ,1-Apr,8,28.4,70,24,70
 Karimnagar ,1-May,6.3,26.8,78,20,76
 Karimnagar ,1-Jun,6.4,32,92,31,89
 Karimnagar ,1-Jul,7,29.3,69,33,69
 Karimnagar ,1-Aug,6,27.4,55,19,55
 Karimnagar ,1-Sep,6.7,29.9,58,20,58
 Karimnagar ,1-Oct,6.7,39.6,62,29,63
 Karimnagar ,1-Nov,6.2,26.1,103,22,101
 Karimnagar ,1-Dec,6.2,32.7,139,35,126
